optimizer,lr,weight_decay,batch_size,epochs,final_train_loss,final_val_loss
adamw,0.001,0.001,64,5,10.002336535537452,10.009983607700892
adamw,0.001,0.01,16,5,8.350043379742166,8.371732491713304
adamw,0.001,0.01,32,5,8.583589868960173,8.604372684772198
adamw,0.001,0.01,64,5,10.17745304107666,10.158573423113141
adamw,0.001,0.1,16,5,8.333823589656664,8.356736219846285
adamw,0.001,0.1,32,5,8.55934768345045,8.574979635385366
adamw,0.001,0.1,64,5,9.867917412205747,9.846220697675433
adamw,0.003,0.0,16,5,8.307610432997993,8.330098225520207
adamw,0.003,0.0,32,5,8.312436452119247,8.330173932589018
adamw,0.003,0.0,64,5,8.337915203027558,8.355091367449079
adamw,0.003,0.0001,16,5,8.308118107007898,8.329331104572002
adamw,0.003,0.0001,32,5,8.312330809883449,8.331971241877628
adamw,0.003,0.0001,64,5,8.344554650156121,8.362251009259905
adamw,0.003,0.001,16,5,8.321348708608877,8.332581189962534
adamw,0.003,0.001,32,5,8.313359102995499,8.332486079289364
adamw,0.003,0.001,64,5,8.34673980244419,8.36544404711042
adamw,0.003,0.01,16,5,8.363085261635158,8.40522050857544
adamw,0.003,0.01,32,5,8.3112467309703,8.331109340374287
adamw,0.003,0.01,64,5,8.353477344178318,8.369029862540108
adamw,0.003,0.1,16,5,8.309959345278532,8.327561158400316
adamw,0.003,0.1,32,5,8.311486468107804,8.330275022066557
adamw,0.003,0.1,64,5,8.339794794718424,8.354410307747978
muon,1e-05,0.0,16,5,37.96499403248662,37.96936871455266
muon,1e-05,0.0,32,5,41.05748141744863,41.09597396850586
muon,1e-05,0.0,64,5,42.72361320361757,42.648939405168804
muon,1e-05,0.0001,16,5,37.73237797281016,37.69083111102764
muon,1e-05,0.0001,32,5,41.448819201925524,41.349126669076774
muon,1e-05,0.0001,64,5,42.94326213368198,42.9450558253697
muon,1e-05,0.001,16,5,38.42463800181513,38.239645150991585
muon,1e-05,0.001,32,5,40.99742670473845,40.99590565608098
muon,1e-05,0.001,64,5,42.58597243459601,42.326087951660156
muon,1e-05,0.01,16,5,38.22576891028363,38.25495529174805
muon,1e-05,0.01,32,5,41.72047885397206,41.607740548940804
muon,1e-05,0.01,64,5,42.75618857668157,42.8663079398019
muon,1e-05,0.1,16,5,38.68180200327998,38.661968818077675
muon,1e-05,0.1,32,5,40.8040865359099,40.72800915057842
muon,1e-05,0.1,64,5,42.849507114343474,42.966383252825054
muon,3e-05,0.0,16,5,22.988553967683213,22.954771702106182
muon,3e-05,0.0,32,5,33.19570398745329,33.17510017981896
muon,3e-05,0.0,64,5,39.54994235122413,39.41162327357701
muon,3e-05,0.0001,16,5,22.89665105239205,22.8225888472337
muon,3e-05,0.0001,32,5,32.24724532417629,32.2423582810622
muon,3e-05,0.0001,64,5,39.618792015209536,39.657843998500276
muon,3e-05,0.001,16,5,23.686375327732254,23.644531176640438
muon,3e-05,0.001,32,5,32.82422001050866,32.78374481201172
muon,3e-05,0.001,64,5,39.88402269597639,39.95932224818638
muon,3e-05,0.01,16,5,22.2907958155093,22.22847975217379
muon,3e-05,0.01,32,5,31.43795333530592,31.473183705256535
