dataset,optimizer,n_layers,lr,weight_decay,batch_size,epochs,seq_len,max_vocab_size,final_train_loss,final_val_loss
wikitext2,adamw,4,0.0001,0.01,64,10,128,4096,6.322040075302124,6.2593985133700905
wikitext2,adamw,4,0.0001,0.1,16,10,128,4096,5.275216632313304,5.210298120407831
wikitext2,adamw,4,0.0001,0.1,32,10,128,4096,5.540971887588501,5.474416804763506
wikitext2,adamw,4,0.0001,0.1,64,10,128,4096,6.381359558105469,6.318683677249485
wikitext2,adamw,4,0.0003,0.0,16,10,128,4096,4.992746851422808,4.944297463553292
wikitext2,adamw,4,0.0003,0.0,32,10,128,4096,5.138403039932251,5.084141398375889
wikitext2,adamw,4,0.0003,0.0,64,10,128,4096,5.293657476425171,5.243764276857729
wikitext2,adamw,4,0.0003,0.0001,16,10,128,4096,4.976232105201775,4.931314577375139
wikitext2,adamw,4,0.0003,0.0001,32,10,128,4096,5.1774007472991945,5.123945812009415
wikitext2,adamw,4,0.0003,0.0001,64,10,128,4096,5.299081605911255,5.241104814741346
wikitext2,adamw,4,0.0003,0.001,16,10,128,4096,4.997197270750642,4.948707439785912
wikitext2,adamw,4,0.0003,0.001,32,10,128,4096,5.143204659461975,5.087354084230819
wikitext2,adamw,4,0.0003,0.001,64,10,128,4096,5.286463495254517,5.232429398430718
wikitext2,adamw,4,0.0003,0.01,16,10,128,4096,4.964395444471758,4.918607761746361
wikitext2,adamw,4,0.0003,0.01,32,10,128,4096,5.149756239891052,5.094216643639331
wikitext2,adamw,4,0.0003,0.01,64,10,128,4096,5.290826223373413,5.235913930115877
wikitext2,adamw,4,0.0003,0.1,16,10,128,4096,4.972718416989505,4.928463899521601
wikitext2,adamw,4,0.0003,0.1,32,10,128,4096,5.119570420265198,5.068051293211163
wikitext2,adamw,4,0.0003,0.1,64,10,128,4096,5.275581609725952,5.218854709907815
wikitext2,adamw,4,0.001,0.0,16,10,128,4096,4.532717717634691,4.534907845088414
wikitext2,adamw,4,0.001,0.0,32,10,128,4096,4.750359075546265,4.726050070996554
wikitext2,adamw,4,0.001,0.0,64,10,128,4096,4.980661169052124,4.943849828508165
wikitext2,adamw,4,0.001,0.0001,16,10,128,4096,4.513201365818629,4.522291764758882
wikitext2,adamw,4,0.001,0.0001,32,10,128,4096,4.73557680606842,4.716399588674869
